"","Sample_ID","Sample_date","Sample_site","Response","Value"
"96","19960708-14-972",1996-07-08,"14-972","Lepto",0.991930700656531
"97","19960708-16-970",1996-07-08,"16-970","Lepto",0.529979041984186
"98","19960708-8-994",1996-07-08,"8-994","Lepto",1.27143282961885
"99","19960712-27-918",1996-07-12,"27-918","Lepto",6.41293695562727
"100","19960712-29-905",1996-07-12,"29-905","Lepto",0.758165825635535
"101","19960712-36-873",1996-07-12,"36-873","Lepto",0
"102","19960712-37-890",1996-07-12,"37-890","Lepto",0
"103","19960715-8-994",1996-07-15,"8-994","Lepto",1.66439532172842
"104","19960716-14-972",1996-07-16,"14-972","Lepto",4.88481102970964
"105","19960717-27-918",1996-07-17,"27-918","Lepto",2.63546749120857
"106","19960717-29-905",1996-07-17,"29-905","Lepto",0
"107","19960717-36-873",1996-07-17,"36-873","Lepto",0
"108","19960717-37-890",1996-07-17,"37-890","Lepto",0.699237862941234
"109","19960718-16-970",1996-07-18,"16-970","Lepto",3.59798722053344
"110","19960722-14-972",1996-07-22,"14-972","Lepto",0
"111","19960722-8-994",1996-07-22,"8-994","Lepto",0.61117788776224
"112","19960723-16-970",1996-07-23,"16-970","Lepto",5.67579049126877
"113","19960723-27-918",1996-07-23,"27-918","Lepto",0
"114","19960723-29-905",1996-07-23,"29-905","Lepto",0.168168067185326
"115","19960723-36-873",1996-07-23,"36-873","Lepto",3.29967013213644
"116","19960723-37-890",1996-07-23,"37-890","Lepto",1.10868697077564
"117","19960730-27-918",1996-07-30,"27-918","Lepto",1.5435324702084
"118","19960730-29-905",1996-07-30,"29-905","Lepto",0.316945496565589
"119","19960730-36-873",1996-07-30,"36-873","Lepto",1.93776441393765
"120","19960730-37-890",1996-07-30,"37-890","Lepto",0.955724437465876
"121","19960801-14-972",1996-08-01,"14-972","Lepto",0.306419131112378
"122","19960801-16-970",1996-08-01,"16-970","Lepto",0.524951183642708
"123","19960801-8-994",1996-08-01,"8-994","Lepto",0.180448884848406
"124","19960805-16-970",1996-08-05,"16-970","Lepto",0.283343792245495
"125","19960805-27-918",1996-08-05,"27-918","Lepto",0
"126","19960805-29-905",1996-08-05,"29-905","Lepto",0.206741182290941
"127","19960805-36-873",1996-08-05,"36-873","Lepto",1.59194996474059
"128","19960805-37-890",1996-08-05,"37-890","Lepto",0.89027244798577
"129","19960806-14-972",1996-08-06,"14-972","Lepto",0
"130","19960806-8-994",1996-08-06,"8-994","Lepto",0.752702913211899
"131","19960812-14-972",1996-08-12,"14-972","Lepto",0
"132","19960812-16-970",1996-08-12,"16-970","Lepto",0
"133","19960812-27-918",1996-08-12,"27-918","Lepto",0
"134","19960812-29-905",1996-08-12,"29-905","Lepto",0
"135","19960812-36-873",1996-08-12,"36-873","Lepto",5.1154469385075
"136","19960812-37-890",1996-08-12,"37-890","Lepto",0
"137","19960812-8-994",1996-08-12,"8-994","Lepto",3.20741726313146
"138","19960819-27-918",1996-08-19,"27-918","Lepto",5.12754134479289
"139","19960819-29-905",1996-08-19,"29-905","Lepto",0
